model,image,precision,recall,f1,mean_iou,true_pos,false_pos,false_neg
RGB-augment,img2825,0.9166666666666666,0.8088235294117647,0.859375,0.8023224912515081,55,5,13
RGB-augment,img2826,0.9361702127659575,0.8301886792452831,0.88,0.7871580485082856,44,3,9
RGB-augment,img2836,0.8983050847457628,0.9464285714285714,0.9217391304347826,0.8131616709711127,53,6,3
RGB-augment,img2839,0.8125,0.8253968253968254,0.8188976377952756,0.7982507992355375,52,12,11
RGB-augment,img2843,0.8,0.7741935483870968,0.7868852459016393,0.7710149999579387,24,6,7
RGB-augment,img2847,0.8888888888888888,0.8,0.8421052631578948,0.8044226499985719,24,3,6
RGB-augment,img2852,0.6578947368421053,0.5813953488372093,0.6172839506172839,0.8507818652183142,25,13,18
RGB-augment,img2854,0.7428571428571429,0.6842105263157895,0.7123287671232877,0.8028112840561608,26,9,12
RGB-augment,img2856,0.8333333333333334,0.7692307692307693,0.8,0.830390621592147,20,4,6
RGB-augment,img2859,0.75,0.75,0.75,0.8671569701014246,3,1,1
RGB-augment,img2865,0.9375,0.8490566037735849,0.8910891089108911,0.8610298386858267,45,3,8
RGB-augment,img2867,0.6904761904761905,0.6744186046511628,0.6823529411764705,0.7894310815553688,29,13,14
RGB-augment,img2868,0.8367346938775511,0.803921568627451,0.8200000000000001,0.8575829097918218,41,8,10
RGB-augment,img287,0.9333333333333333,0.8235294117647058,0.8749999999999999,0.8337189302451958,14,1,3
RGB-augment,img2875,0.96,0.7741935483870968,0.8571428571428571,0.8392605710642419,24,1,7
RGB-augment,img2878,0.875,0.9545454545454546,0.9130434782608695,0.7879911707617657,21,3,1
RGB-augment,img288,0.6875,0.6111111111111112,0.6470588235294118,0.8185951061141594,22,10,14
RGB-augment,img2888,0.0,0.0,0.0,0.0,0,0,0
RGB-augment,img2891,0.8181818181818182,0.6428571428571429,0.7200000000000001,0.8348123536601043,9,2,5
RGB-augment,img2906,0.8852459016393442,0.84375,0.864,0.7999352814585938,54,7,10
RGB-augment,img2909,0.9545454545454546,0.7924528301886793,0.865979381443299,0.8147648997801114,42,2,11
RGB-augment,img291,0.8888888888888888,0.8333333333333334,0.8602150537634408,0.8143410248523327,40,5,8
RGB-augment,img2916,0.847457627118644,0.7692307692307693,0.8064516129032259,0.7895906908707299,50,9,15
RGB-augment,img2921,0.8857142857142857,0.7948717948717948,0.8378378378378378,0.8117571234227852,31,4,8
RGB-augment,img2925,0.8095238095238095,0.68,0.7391304347826089,0.8272459672243526,17,4,8
RGB-augment,img2926,0.8695652173913043,0.8,0.8333333333333333,0.8525441423367681,20,3,5
RGB-augment,img2938,0.9365079365079365,0.8676470588235294,0.9007633587786259,0.8295332514436264,59,4,9
RGB-augment,img2939,0.9655172413793104,0.9655172413793104,0.9655172413793104,0.8740298337137514,56,2,2
RGB-augment,img2940,0.92,0.8679245283018868,0.8932038834951457,0.8757758034405225,46,4,7
RGB-augment,img2942,0.4,0.4,0.4000000000000001,0.5532013118328851,2,3,3
RGB-augment,img2944,0.5625,0.6428571428571429,0.6000000000000001,0.8351268007129491,9,7,5
RGB-augment,img2947,0.9459459459459459,0.9459459459459459,0.9459459459459459,0.8749430313341757,35,2,2
RGB-augment,img2957,0.6666666666666666,0.6923076923076923,0.6792452830188679,0.8143999455271762,18,9,8
RGB-augment,img2968,0.7058823529411765,0.8,0.7500000000000001,0.7880756992705807,12,5,3
RGB-augment,img297,0.0,0.0,0.0,0.0,0,0,0
RGB-augment,img2978,0.7419354838709677,0.8214285714285714,0.7796610169491526,0.8273212355791273,23,8,5
RGB-augment,img2980,0.9074074074074074,0.765625,0.8305084745762712,0.807420174848653,49,5,15
RGB-augment,img2997,0.9583333333333334,0.8214285714285714,0.8846153846153847,0.849477508122149,23,1,5
RGB-augment,img2998,0.7333333333333333,0.8148148148148148,0.7719298245614035,0.8215887448034132,22,8,5
RGB-augment,img3000,0.7894736842105263,0.8333333333333334,0.8108108108108109,0.8764263701163543,15,4,3
RGB-augment,img3006,0.8148148148148148,0.6875,0.7457627118644067,0.8061772649368651,22,5,10
RGB-augment,img3010,0.8222222222222222,0.8222222222222222,0.8222222222222222,0.7852299361823213,37,8,8
RGB-augment,img3017,0.94,0.94,0.94,0.8458073638388917,47,3,3
RGB-augment,img3034,0.75,0.7777777777777778,0.7636363636363638,0.8568252433275939,21,7,6
RGB-augment,img3035,0.78125,0.8333333333333334,0.8064516129032259,0.8194917667042927,25,7,5
RGB-augment,img3040,0.6666666666666666,0.8,0.7272727272727272,0.8500659821499118,8,4,2
