image,precision,recall,f1,mean_iou,true_pos,false_pos,false_neg,model
img441,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.8766717586501456,18,1,1,RGB-augment
img4419,0.5,0.6666666666666666,0.5714285714285715,0.8828715105109624,2,2,1,RGB-augment
img4428,0.8076923076923077,0.9545454545454546,0.875,0.8400557360096412,21,5,1,RGB-augment
img4431,0.2857142857142857,0.6666666666666666,0.4,0.742660396023398,2,5,1,RGB-augment
img4457,0.8275862068965517,0.8571428571428571,0.8421052631578947,0.8442981423213712,24,5,4,RGB-augment
img4462,0.9019607843137255,0.92,0.9108910891089109,0.827433576310758,46,5,4,RGB-augment
img4463,0.9512195121951219,0.8478260869565217,0.8965517241379309,0.8460341068613778,39,2,7,RGB-augment
img4464,1.0,0.7727272727272727,0.8717948717948718,0.8195262618608444,17,0,5,RGB-augment
img4471,0.5238095238095238,0.6111111111111112,0.5641025641025642,0.8652082373268964,11,10,7,RGB-augment
img4476,0.7692307692307693,0.7142857142857143,0.7407407407407408,0.7672596956939326,20,6,8,RGB-augment
img4494,0.6,0.75,0.6666666666666665,0.8901653089040854,3,2,1,RGB-augment
img4517,0.8260869565217391,0.8260869565217391,0.8260869565217391,0.8219048136306435,19,4,4,RGB-augment
img4518,0.8571428571428571,1.0,0.923076923076923,0.875972207266361,12,2,0,RGB-augment
img4526,0.8461538461538461,1.0,0.9166666666666666,0.7774136889937633,11,2,0,RGB-augment
img4533,0.75,1.0,0.8571428571428571,0.8857780659632307,6,2,0,RGB-augment
img4536,0.75,0.8,0.7741935483870969,0.8731765235109318,12,4,3,RGB-augment
img4546,0.9130434782608695,0.7777777777777778,0.84,0.83015495667741,42,4,12,RGB-augment
img455,0.14285714285714285,0.25,0.18181818181818182,0.89436557364712,1,6,3,RGB-augment
img4550,1.0,0.8666666666666667,0.9285714285714286,0.7903150751998128,13,0,2,RGB-augment
img4553,0.8181818181818182,1.0,0.9,0.8324716236920645,9,2,0,RGB-augment
img457,0.8695652173913043,0.8695652173913043,0.8695652173913043,0.89803546983358,20,3,3,RGB-augment
img4571,0.7272727272727273,0.8,0.761904761904762,0.8544439659139227,8,3,2,RGB-augment
img458,0.9622641509433962,0.8947368421052632,0.9272727272727272,0.8269820377039386,51,2,6,RGB-augment
img4580,0.0,0.0,0.0,0.0,0,0,0,RGB-augment
img4581,0.0,0.0,0.0,0.0,0,1,0,RGB-augment
img4583,0.0,0.0,0.0,0.0,0,0,0,RGB-augment
img4586,0.75,0.75,0.75,0.8705565522244075,3,1,1,RGB-augment
img4592,1.0,0.967741935483871,0.9836065573770492,0.8411953824651738,30,0,1,RGB-augment
img4597,1.0,1.0,1.0,0.8953028669772396,8,0,0,RGB-augment
img4601,0.6333333333333333,0.7307692307692307,0.6785714285714285,0.808200944173321,19,11,7,RGB-augment
img4610,0.8181818181818182,0.9,0.8571428571428572,0.8704712931391305,9,2,1,RGB-augment
img4615,0.7,0.7,0.7,0.8405894103000985,7,3,3,RGB-augment
img4641,0.9534883720930233,0.9111111111111111,0.9318181818181819,0.8429074514488266,41,2,4,RGB-augment
img4655,0.4,0.5,0.4444444444444445,0.9051942768844945,2,3,2,RGB-augment
img466,0.875,0.875,0.875,0.7861980443558367,14,2,2,RGB-augment
img4672,0.9,0.75,0.8181818181818182,0.8098840211260634,18,2,6,RGB-augment
img4673,0.6470588235294118,0.6875,0.6666666666666667,0.8205401414802423,11,6,5,RGB-augment
img4675,0.9545454545454546,0.9130434782608695,0.9333333333333332,0.8138032868973533,21,1,2,RGB-augment
img4676,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8187468040875265,2,1,1,RGB-augment
