image,precision,recall,f1,mean_iou,true_pos,false_pos,false_neg,model
img3439,0.8823529411764706,0.5769230769230769,0.6976744186046512,0.804645936537808,15,2,11,RGB-origin
img3442,1.0,0.7058823529411765,0.8275862068965517,0.8613585338574165,24,0,10,RGB-origin
img3445,0.9615384615384616,0.8771929824561403,0.9174311926605504,0.8144994806246204,50,2,7,RGB-origin
img3446,0.9122807017543859,0.8524590163934426,0.8813559322033898,0.8330754753010267,52,5,9,RGB-origin
img3453,0.8709677419354839,0.84375,0.8571428571428571,0.8306388391183677,27,4,5,RGB-origin
img3458,0.918918918918919,0.8717948717948718,0.8947368421052632,0.8317340482014888,34,3,5,RGB-origin
img3469,0.918918918918919,0.85,0.8831168831168831,0.7920345319056321,34,3,6,RGB-origin
img347,0.7647058823529411,0.8387096774193549,0.7999999999999999,0.8178185693622599,26,8,5,RGB-origin
img3481,1.0,0.875,0.9333333333333333,0.9124355835519385,7,0,1,RGB-origin
img349,0.9722222222222222,0.8974358974358975,0.9333333333333333,0.8257930065219808,35,1,4,RGB-origin
img3498,1.0,0.9,0.9473684210526316,0.8469768850135663,9,0,1,RGB-origin
img3500,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.8456638506012146,26,2,2,RGB-origin
img3507,1.0,0.8431372549019608,0.9148936170212766,0.8693207283562576,43,0,8,RGB-origin
img3515,0.7692307692307693,0.5555555555555556,0.6451612903225806,0.7841736584018029,10,3,8,RGB-origin
img3517,0.7272727272727273,0.6666666666666666,0.6956521739130435,0.8148384681394704,16,6,8,RGB-origin
img3520,0.9210526315789473,0.813953488372093,0.8641975308641974,0.8277471415002068,35,3,8,RGB-origin
img3523,0.8333333333333334,0.625,0.7142857142857143,0.8550993558320755,5,1,3,RGB-origin
img3536,0.9375,0.6818181818181818,0.7894736842105263,0.8383425118392928,15,1,7,RGB-origin
img3538,0.7037037037037037,0.5,0.5846153846153846,0.8185844537826573,19,8,19,RGB-origin
img3539,0.8421052631578947,0.7111111111111111,0.7710843373493975,0.8324865028849514,32,6,13,RGB-origin
img3546,0.8837209302325582,0.8837209302325582,0.8837209302325582,0.8317589704712824,38,5,5,RGB-origin
img3547,0.9512195121951219,0.8478260869565217,0.8965517241379309,0.7962128935130044,39,2,7,RGB-origin
img3548,0.7647058823529411,0.5909090909090909,0.6666666666666667,0.774408208616147,13,4,9,RGB-origin
img3569,0.9791666666666666,0.9791666666666666,0.9791666666666666,0.8757535065658574,47,1,1,RGB-origin
img3570,0.851063829787234,0.8,0.8247422680412372,0.8375443724028262,40,7,10,RGB-origin
img3571,0.8571428571428571,0.8372093023255814,0.8470588235294119,0.8480217781915145,36,6,7,RGB-origin
img3573,0.9607843137254902,0.9074074074074074,0.9333333333333333,0.8293305192298633,49,2,5,RGB-origin
img358,1.0,0.5,0.6666666666666666,0.6227565216668823,1,0,1,RGB-origin
img3589,0.9534883720930233,0.7884615384615384,0.8631578947368421,0.8335642942717502,41,2,11,RGB-origin
img359,0.7272727272727273,0.4507042253521127,0.5565217391304348,0.7981411220254825,32,12,39,RGB-origin
img3591,0.7857142857142857,0.5,0.6111111111111112,0.7748608122704599,11,3,11,RGB-origin
img3595,0.8275862068965517,0.8275862068965517,0.8275862068965517,0.8727461629239256,24,5,5,RGB-origin
img3611,0.96875,0.8157894736842105,0.8857142857142857,0.8230680773365608,31,1,7,RGB-origin
